J_kSalt_15K_v8_w,eps1,eps2
7.16,-742.32392,10175.91791
7.17,-741.8907765,10161.28718
7.18,-741.4870397,10146.69442
7.19,-741.0841593,10132.14061
7.2,-740.6821357,10117.6257
7.21,-740.2672656,10103.16437
7.22,-739.8669678,10088.72705
7.23,-739.4538449,10074.34316
7.24,-739.0552747,10059.98319
7.25,-738.643901,10045.67652
7.26,-738.2481024,10031.422
7.27,-737.8521228,10017.17758
7.28,-737.4433717,10002.98625
7.29,-737.0355024,9988.833237
7.3,-736.6431705,9974.732108
7.31,-736.2506592,9960.640919
7.32,-735.8454186,9946.602532
7.33,-735.4556873,9932.615815
7.34,-735.052205,9918.653534
7.35,-734.6496075,9904.729222
7.36,-734.2624914,9890.856372
7.37,-733.8616552,9877.00781
7.38,-733.4617054,9863.19704
7.39,-733.0907322,9849.422958
7.4,-732.6925367,9835.687594
7.41,-732.295229,9821.989844
7.42,-731.9133475,9808.343145
7.43,-731.5178071,9794.72044
7.44,-731.123156,9781.135175
7.45,-730.7293945,9767.587291
7.46,-730.3644771,9754.075686
7.47,-729.9724773,9740.602391
7.48,-729.5813686,9727.166304
7.49,-729.1911515,9713.767367
7.5,-728.8152422,9700.391061
7.51,-728.4268003,9687.06626
7.52,-728.0526479,9673.763995
7.53,-727.6659831,9660.513101
7.54,-727.2935895,9647.284647
7.55,-726.9087038,9634.107432
7.56,-726.5236664,9620.939204
7.57,-726.1405712,9607.83545
7.58,-725.757325,9594.740606
7.59,-725.3893517,9581.695709
7.6,-725.007889,9568.674033
7.61,-724.6416816,9555.702171
7.62,-724.2620045,9542.753437
7.63,-723.8832255,9529.841095
7.64,-723.5053452,9516.965088
7.65,-723.1416369,9504.11104
7.66,-722.7655459,9491.307546
7.67,-722.3903551,9478.54022
7.68,-722.0293096,9465.794713
7.69,-721.6548622,9453.072046
7.7,-721.282365,9440.412918
7.71,-720.9097207,9427.762254
7.72,-720.5379786,9415.147519
7.73,-720.1813872,9402.581854
7.74,-719.8114418,9390.038801
7.75,-719.4555802,9377.51728
7.76,-719.0732126,9365.032536
7.77,-718.7191411,9352.582414
7.78,-718.352804,9340.182113
7.79,-717.9863219,9327.790019
7.8,-717.6207456,9315.433452
7.81,-717.2560755,9303.112357
7.82,-716.8923122,9290.826681
7.83,-716.529456,9278.57637
7.84,-716.1806055,9266.34722
7.85,-715.832645,9254.153345
7.86,-715.4583638,9241.995742
7.87,-715.0980802,9229.859184
7.88,-714.7387059,9217.757758
7.89,-714.3802415,9205.691411
7.9,-714.0357312,9193.645992
7.91,-713.6790788,9181.64965
7.92,-713.322285,9169.661123
7.93,-712.9804727,9157.720514
7.94,-712.6254934,9145.801727
7.95,-712.2714265,9133.917735
7.96,-711.9042284,9122.055496
7.97,-711.5649783,9110.226911
7.98,-711.2136512,9098.447008
7.99,-710.8621846,9086.674709
8,-710.5116326,9074.936977
8.01,-710.1619954,9063.233761
8.02,-709.8122194,9051.538079
8.03,-709.4644134,9039.903756
8.04,-709.1164691,9028.276898
8.05,-708.7694414,9016.684382
8.06,-708.4233307,9005.126157
8.07,-708.091032,8993.588222
8.08,-707.7328071,8982.085547
8.09,-707.3883948,8970.603094
8.1,-707.0449011,8959.154759
8.11,-706.7023265,8947.740493
8.12,-706.3735228,8936.346336
8.13,-706.0188804,8924.987219
8.14,-705.6780096,8913.648143
8.15,-705.3380595,8902.342965
8.16,-704.9990306,8891.071635
8.17,-704.6598667,8879.807427
8.18,-704.3354815,8868.589799
8.19,-703.9981534,8857.393092
8.2,-703.6479076,8846.217281
8.21,-703.3124338,8835.08789
