Freq_cm_merged_15K,ep1,ep2
3573.930344,5.073816294,1.223355556
3614.768159,5.040268126,1.239979688
3697.863965,5.004597443,1.294971297
3740.116029,4.963107772,1.315627088
3804.408733,4.919626656,1.35028472
3847.8743,4.871206466,1.362421904
3891.840393,4.835763595,1.369763047
3936.306859,4.79705398,1.373309773
3981.283389,4.763104167,1.377872336
4015.349676,4.733189684,1.375010103
4072.78198,4.6955923,1.376843972
4107.629111,4.663245727,1.369254687
4166.379202,4.629782858,1.354505002
4213.984556,4.603903337,1.345112018
4274.255814,4.571168683,1.329650461
4323.093774,4.549259656,1.313399495
4384.930013,4.529570651,1.293145641
4485.718874,4.507649745,1.267609192
4601.882471,4.488746015,1.245967952
4721.05666,4.473720323,1.226534546
4870.920835,4.466890988,1.210546632
4968.761225,4.467946299,1.208448091
5097.451854,4.467957194,1.218239057
5229.478203,4.45610536,1.260291796
5304.268382,4.413509344,1.246205895
5380.163497,4.4263462,1.250255757
5488.219002,4.39470914,1.262630033
5582.561647,4.370214815,1.261719482
5662.415797,4.351565484,1.250181538
5809.060308,4.343727264,1.237089298
5993.464856,4.336898814,1.231333226
6148.692145,4.336961913,1.231203667
6325.892959,4.342257488,1.239781498
6489.739775,4.348750642,1.255296105
6638.945154,4.355382956,1.279514018
6810.900328,4.355267472,1.306496539
6967.496533,4.363974729,1.343969144
7188.703862,4.356203042,1.407865905
7480.420652,4.33185271,1.494352677
7761.899607,4.30254307,1.597482633
8008.328014,4.248975631,1.710489435
8215.726656,4.169398608,1.785677425
8428.504991,4.094487504,1.862156964
8622.253982,4.01452605,1.925953706
8870.736563,3.902052257,2.036094339
9074.628378,3.763405335,2.108488565
9256.869703,3.622844534,2.172672221
9362.611012,3.526699738,2.181070355
9550.616463,3.373410274,2.221897002
9687.176717,3.213835436,2.241210405
9742.303697,3.142784975,2.215698533
9853.560275,3.035930986,2.195283898
9937.793065,2.941958573,2.152779944
10051.24152,2.845353542,2.096769388
10194.90339,2.708365925,2.054072584
10311.20369,2.5826433,1.954128467
10428.85704,2.490943068,1.861318414
10577.76661,2.385898975,1.715611279
10728.80782,2.314625982,1.563350935
10851.20421,2.273691852,1.442654266
10975.00248,2.243663984,1.318927376
11131.7552,2.231039178,1.155285114
11322.92175,2.250122868,0.990029983
11517.40611,2.275904265,0.820317595
11682.10636,2.326962902,0.688025025
11882.9401,2.406955064,0.544722082
12018.80646,2.480406208,0.462617642
12156.26311,2.559138665,0.406104476
12330.27961,2.637722712,0.34771917
